"bahasa","daerah"
"http://id.dbpedia.org/resource/Bahasa_Kayan_Mendalam","Sungai Mendalam, Putussibau, Kapuas Hulu, Kalimantan Barat"
"http://id.dbpedia.org/resource/Bahasa_Aoheng","Kalimantan Timur, utara pusat dekat perbatasan Sarawak, hulu Kapuas, Barito, dan sungai Mahakam"
"http://id.dbpedia.org/resource/Bahasa_Punan_Aput","Wilayah barat dan utara Gunung Menyapa, Kalimantan Timur"
"http://id.dbpedia.org/resource/Bahasa_Punan_Merah","Sungai Mahakam, Ujoh Bilang timur, Kalimantan Timur"
"http://id.dbpedia.org/resource/Bahasa_Kereho","Kapuas Hulu , Kalimantan Barat"
"http://id.dbpedia.org/resource/Bahasa_Bukat","timur laut dekat perbatasan Sarawak, Sungai Kapuas, tenggara Mendalam, Kalimantan Barat"
"http://id.dbpedia.org/resource/Bahasa_Hovongan","Kalimantan Barat dekat Sarawak dan berbatasan dengan Kalimantan Timur; Kabupaten Kapuas Hulu, jauh di sudut timur laut."
"http://id.dbpedia.org/resource/Bahasa_Bakati'","Barat laut dekat perbatasan Sarawak, Sambas dan daerah Selvas."
"http://id.dbpedia.org/resource/Bahasa_Okolod","Kalimantan Timur, sepanjang perbatasan Sabah, timur Lumbis, utara Lundayeh, juga di Sarawak."
"http://id.dbpedia.org/resource/Bahasa_Kenyah_Wahau","Sungai Mahakam hulu di desa Batu Majang, Buluk Sen, Uma’ Dian, Muara Pedohon, Kampung Baru, Uma’ Bekuai, Tabang Lama, Provinsi Kalimantan Timur"
"http://id.dbpedia.org/resource/Bahasa_Kenyah_Kelinyau","http://id.dbpedia.org/resource/Provinsi_Kalimantan_Timur"
"http://id.dbpedia.org/resource/Bahasa_Kelabit","Sarawak utara  dan Provinsi Kalimantan Timur"
"http://id.dbpedia.org/resource/Bahasa_Tonsawang","http://id.dbpedia.org/resource/Sulawesi_Utara"
"http://id.dbpedia.org/resource/Bahasa_Tonsawang","http://id.dbpedia.org/resource/Tombatu,_Minahasa_Tenggara"
"http://id.dbpedia.org/resource/Bahasa_Jangkang","http://id.dbpedia.org/resource/Provinsi_Kalimantan_Barat"
"http://id.dbpedia.org/resource/Bahasa_Lauje","Sulawesi Tengah"
"http://id.dbpedia.org/resource/Bahasa_Balantak","Kabupaten Banggai, Luwuk, Balantak, Tinangkung, dan Lamala"
"http://id.dbpedia.org/resource/Bahasa_Tonsea","Ujung timur laut Sulawesi"
"http://id.dbpedia.org/resource/Bahasa_Totoli","Sulawesi Tengah"
"http://id.dbpedia.org/resource/Bahasa_Balaesang","Semenanjung Manimbayu, Balaesang, Donggala"
"http://id.dbpedia.org/resource/Bahasa_Wotu","http://id.dbpedia.org/resource/Sulawesi_Selatan"
"http://id.dbpedia.org/resource/Bahasa_Wotu","http://id.dbpedia.org/resource/Wotu,_Luwu_Timur"
"http://id.dbpedia.org/resource/Bahasa_Tombelala","http://id.dbpedia.org/resource/Sulawesi_Tengah"
"http://id.dbpedia.org/resource/Bahasa_Tombelala","http://id.dbpedia.org/resource/Bungku_Tengah,_Morowali"
"http://id.dbpedia.org/resource/Bahasa_Kaidipang","Bolaangitang, Sulawesi Utara"
"http://id.dbpedia.org/resource/Bahasa_Sarudu","http://id.dbpedia.org/resource/Sulawesi_Barat"
"http://id.dbpedia.org/resource/Bahasa_Sarudu","http://id.dbpedia.org/resource/Pasangkayu,_Mamuju_Utara"
